cell_id,crash_count,gi_zscore,gi_pvalue,hotspot_category,lat,lon
161,0,-0.3830695308391119,0.32,Not Significant,52.44983827585783,-2.006451741304403
162,6,-0.16872018865313662,0.114,Not Significant,52.45433327609387,-2.0064524250684643
163,5,-0.10135325253754437,0.399,Not Significant,52.45882827289084,-2.006453109012522
164,5,-0.17484445557273592,0.223,Not Significant,52.463323266248906,-2.0064537931366426
165,0,-0.44431220003510485,0.165,Not Significant,52.467818256168194,-2.006454477440887
166,0,-0.5545490045878921,0.001,Not Significant,52.472313242648895,-2.006455161925321
167,0,-0.5545490045878921,0.001,Not Significant,52.476808225691144,-2.006455846590006
168,0,-0.5545490045878921,0.001,Not Significant,52.481303205295085,-2.006456531435007
169,0,-0.5545490045878921,0.001,Not Significant,52.48579818146088,-2.006457216460387
170,0,-0.5545490045878921,0.001,Not Significant,52.49029315418866,-2.006457901666209
171,0,-0.5545490045878921,0.001,Not Significant,52.49478812347862,-2.0064585870525367
172,0,-0.5545490045878921,0.001,Not Significant,52.499283089330845,-2.0064592726194337
173,0,-0.5545490045878921,0.001,Not Significant,52.50377805174552,-2.006459958366964
174,0,-0.5545490045878921,0.001,Not Significant,52.50827301072282,-2.0064606442951916
175,0,-0.5545490045878921,0.001,Not Significant,52.51276796626285,-2.0064613304041794
176,0,-0.5545490045878921,0.001,Not Significant,52.517262918365795,-2.006462016693991
177,0,-0.5545490045878921,0.001,Not Significant,52.52175786703178,-2.0064627031646913
178,0,-0.5545490045878921,0.001,Not Significant,52.526252812261006,-2.0064633898163415
179,0,-0.5545490045878921,0.001,Not Significant,52.53074775405358,-2.0064640766490096
180,0,-0.5545490045878921,0.001,Not Significant,52.53524269240964,-2.0064647636627555
181,0,-0.5545490045878921,0.001,Not Significant,52.53973762732938,-2.006465450857646
182,0,-0.5545490045878921,0.001,Not Significant,52.54423255881292,-2.0064661382337428
183,0,-0.5545490045878921,0.001,Not Significant,52.54872748686046,-2.0064668257911102
184,0,-0.5545490045878921,0.001,Not Significant,52.55322241147209,-2.0064675135298145
185,0,-0.5545490045878921,0.001,Not Significant,52.557717332648,-2.006468201449916
186,0,-0.5545490045878921,0.001,Not Significant,52.56221225038834,-2.0064688895514813
187,0,-0.5545490045878921,0.001,Not Significant,52.56670716469325,-2.0064695778345736
188,0,-0.5545490045878921,0.001,Not Significant,52.57120207556287,-2.0064702662992575
